Airline,Fatalities
"Loganair, op.for Flybe",0
KAPO Avia,0
Skyward International Aviation,0
"Ethiopian Airlines, op.for ASKY Airlines",0
 Trigana Air Service,0
"Sun-Air, opf British Airways",0
Atlantic Airlines,0
Chapi Air,0
Challenger Aero Corporation Metro Manila,0
Syrian Air Force,30
Olimp Air,6
Xcel Aviation,0
"Swiss, opb Helvetic Airways",0
flydubai,0
Dinama Aircorp,3
Libyan Air Cargo,0
Sky Express,0
TransAsia Airways,43
Eagle Air Transport,0
Eagle Air Transport,0
Aeropanamericano,4
Angolan AF,0
Mozambique AF,0
Genex Ltd.,0
BPV Group,0
Unique Air,0
Russian AF,0
"Cello Aviation, opf Aurigny Air Services",0
"Air Canada Express, op.for Jazz Aviation",0
FedEx,0
Six Hundred NP,0
THY,0
 Deraya Air Taxi,0
Delta Air Lines,0
Icar Air,0
SpiceJet,0
Martinaire,0
Pool Aviation,0
Japan Civil Aviation Bureau,0
Malaysia Airlines,0
Yemen Government,0
Germanwings,150
Indian Navy,2
Private,0
Agrotekhservice,2
Yemen AF,0
Yemen AF,0
Air Canada,0
DOSAAF,0
Barash Aviation,0
Ryanair,0
Ryanair,0
Beechcraft,0
Beechcraft,0
Beechcraft,0
Beechcraft,0
Beechcraft,0
Executive AirShare,0
ShAR Inc. Ltd.,0
La Venezolana de Seguros y Vida,0
Carson Air,2
Jet Airways,0
Asiana Airlines,0
Key Lime Air,0
USAF,0
THY,0
SATA,0
Cobham Aviation Services,0
Felix Airways,0
Japanese Navy,0
USAF,0
Lufthansa,0
Yemen AF,0
Airbus Industrie,4
 Air Libya,0
Joy Air,0
"DOSAAF, Rostov ATSK",0
Klaipedos avialinijos,2
N505SP LLC,0
private,0
Airworks,0
Unknown,4
Japan Coast Guard,0
Aeronaves TSM,5
Alaska Air Taxi,0
Indian Coast Guard,3
Auto Panther,0
Trans Maldivian Airways,0
Trans Maldivian Airways,0
Memly Aviation,0
"Swat Technology, LLC",0
Nauru Airlines,0
Vodoley,0
SCAT,0
Delta Air Lines,0
Vostok Aviakompania,0
Beta Aire,0
Promech Air,9
South Korea AF,0
Transair (Cargo),0
Indonesian AF,139
Ameriflight,0
Trans Maldivian Airways,0
Flying Firemen,0
Skydive Dubai,0
USAF,0
 CAA,0
Russian AF,0
Hellenic AF,0
Aeroklub Warszawski,0
British Airways,0
private,0
Paragon Jets,0
Mountain Air Services,0
Air Bagan,0
Brazilian AF,0
Salem Aviation,4
RusLine,0
Colombian AF,11
Aero West,1
Air Choice One,0
Snow Peak Ventures,0
Southwest Airlines,0
Southwest Aircraft Charter,0
Mountain Air Cargo,0
American Airlines,0
 Trigana Air Service,54
"BAE Systems, op.for US DoD",4
Maritime Air Charter,0
Hummingbird Air,0
Dubnica Air,3
Dubnica Air,4
UF Equipment LLC,0
Unknown,0
Unknown,0
RCAF,0
First Flying,0
Cardig Air,0
Anton Air,0
Nigerian AF,7
Lukiaviatrans,0
Handel- en Exploitatiemij. Ruygrok,0
Toll Aviation,0
Royal Flying Doctor Service,0
Jet24,0
Senegalair,7
 Ceiba International,0
Rampart Aviation,0
FSC Halle-Oppin,0
British Airways,0
Rainbow King Lodge,3
Qatar Airways,0
Yenisei Airline,0
Air Berlin,0
Trans Maldivian Airways,0
Buffalo Airways,0
Yulgilbar Pastoral Co,0
private,0
Luxair,0
Skydive Dubai,0
 Aviastar Mandiri,10
USAF,14
London Executive Aviation,2
Starbow,0
Tristar Air,0
Afghan Air Force,2
Microsurvey,3
Mahan Air,0
Top Air SA,0
Grupo Constructor Plata,4
Peruvian Airlines,0
Interjet,0
"British Airways, opb Comair",0
Unknown,
Dynamic International Airways,0
Arcadia Leasing,0
Metrojet,224
 Malu Aviation,0
Senegalese Air Force,0
Shaheen Air,0
"Allied Services Limited, lsf Asia Airways",41
Execuflight,0
NASC,0
Hummingbird Air,0
"Westwind Aviation, op.for UN WFP",0
Execuflight,9
Banco Bradesco,4
SarTec Corp.,0
Lao Skyway,0
Servicios Aéreos Estrella,0
 Avia Traffic Company,0
Magnicharters,0
Jivair,0
Premier Jet Services,0
Sun TV Network,0
Condor Flugdienst,0
SpiceJet,0
WC Leasing Corp.,0
Dixco Transport,1
Sky Mast,0
Wasaya Airways,1
MEVA,0
Southwest Airlines,0
Eastern Airways,0
 KalStar Aviation,0
Border Security Force,10
Aerolíneas Ejecutivas,0
Pegasus Airlines,1
Mahan Air,0
 Serve Air,8
Air Madagascar,0
Cobb Aviation Services,0
