United States,"13,513"
Brazil,"4,093"
Mexico,"1,714"
Canada,"1,467"
Russia,"1,218"
Argentina,"1,138"
Bolivia,855
Colombia,836
Paraguay,799
Indonesia,673
South Africa,566
Papua New Guinea,561
Germany,539
China,507
Chile,481
Australia,480
France,464
United Kingdom,460
Venezuela,444
Ecuador,432
India,346
Iran,319
Guatemala,291
Philippines,247
Sweden,231
Saudi Arabia,214
"Congo, Democratic Republic of the",198
Kenya,197
Zimbabwe,196
Peru,191
Ukraine,187
Angola,176
Japan,175
Tanzania,166
Costa Rica,161
Algeria,157
Pakistan,151
Spain,150
Finland,148
Nicaragua,147
Libya,146
Uruguay,133
Cuba,133
Oman,132
Italy,129
Czechia,128
Poland,126
New Zealand,123
Panama,117
Guyana,117
Malaysia,114
Namibia,112
"Korea, South",111
Honduras,103
Iraq,102
Thailand,101
Mozambique,98
Turkey,98
Kazakhstan,96
Iceland,96
Norway,95
Syria,90
Zambia,88
South Sudan,85
Madagascar,83
Egypt,83
"Korea, North",82
Denmark,80
Greece,77
Botswana,74
Sudan,74
Croatia,69
Bulgaria,68
El Salvador,68
Belarus,65
Burma,64
Portugal,64
Switzerland,63
Lithuania,61
"Bahamas, The",61
Somalia,61
Chad,59
Ethiopia,57
Yemen,57
Suriname,55
Morocco,55
French Polynesia,54
Nigeria,54
Uzbekistan,53
Austria,52
Afghanistan,52
Belize,47
Uganda,47
Israel,47
Nepal,47
Romania,45
Vietnam,45
Mongolia,44
Gabon,44
United Arab Emirates,43
Latvia,42
Belgium,41
Laos,41
Hungary,41
Ireland,40
Central African Republic,39
Taiwan,37
Azerbaijan,37
Solomon Islands,36
Dominican Republic,36
Slovakia,35
Cameroon,33
Malawi,32
Vanuatu,31
Niger,30
Mauritania,30
Liberia,29
Tunisia,29
Puerto Rico,29
Netherlands,29
Fiji,28
Kyrgyzstan,28
Jamaica,28
Cote d'Ivoire,27
"Congo, Republic of the",27
Turkmenistan,26
Serbia,26
New Caledonia,25
Mali,25
Bosnia and Herzegovina,24
Tajikistan,24
Lesotho,24
Burkina Faso,23
Antarctica,23
Georgia,22
Senegal,20
Sri Lanka,19
Kiribati,19
Bangladesh,18
Jordan,18
Estonia,18
Cambodia,16
Slovenia,16
Guinea,16
Cyprus,15
Marshall Islands,15
Greenland,15
Haiti,14
Swaziland,14
Seychelles,14
Eritrea,13
Djibouti,13
Cook Islands,11
Armenia,11
Macedonia,10
Ghana,10
Cabo Verde,9
Singapore,9
Maldives,9
Guinea-Bissau,8
Lebanon,8
Turks and Caicos Islands,8
Togo,8
Sierra Leone,8
Burundi,7
Equatorial Guinea,7
Rwanda,7
Kuwait,7
Moldova,7
Falkland Islands (Islas Malvinas),7
Benin,6
Kosovo,6
"Micronesia, Federated States of",6
Western Sahara,6
Saint Vincent and the Grenadines,6
Timor-Leste,6
Tonga,6
Qatar,6
Guam,5
Northern Mariana Islands,5
Montenegro,5
Mauritius,5
Albania,4
Bahrain,4
British Virgin Islands,4
Comoros,4
Trinidad and Tobago,4
Samoa,4
Spratly Islands,4
Svalbard,4
French Southern and Antarctic Lands,4
American Samoa,3
Antigua and Barbuda,3
Palau,3
Grenada,3
Cayman Islands,3
Anguilla,2
Bhutan,2
Dominica,2
Guernsey,2
Hong Kong,2
Luxembourg,2
West Bank,2
Saint Lucia,2
Saint Pierre and Miquelon,2
Sao Tome and Principe,2
Virgin Islands,2
Wallis and Futuna,2
Saint Kitts and Nevis,2
Aruba,1
Wake Island,1
Bermuda,1
British Indian Ocean Territory,1
Brunei,1
Christmas Island,1
Cocos (Keeling) Islands,1
Faroe Islands,1
"Gambia, The",1
Gaza Strip,1
Gibraltar,1
Isle of Man,1
Jan Mayen,1
Jersey,1
Macau,1
Malta,1
Montserrat,1
Nauru,1
Niue,1
Norfolk Island,1
Paracel Islands,1
Saint Barthelemy,1
"Saint Helena, Ascension, and Tristan da Cunha",1
Saint Martin,1
Sint Maarten,1
Tuvalu,1
Barbados,1
